X_Coord,Y_Coord,B,G,R,H,S,V,label,hour
4813,1625,0.596662223,0.99999994,0.789136827,91.36772919,0.403337747,254.9999847,floral,9
4804,1627,0.574869096,0.927388966,0.808279395,80.27281952,0.380120873,236.4841919,floral,9
4831,1626,0.587615848,0.99999994,0.698159754,103.9163742,0.412384123,254.9999847,floral,9
4839,1639,0.431694239,0.943395019,0.580129564,102.5950623,0.542403519,240.5657349,floral,9
4835,1634,0.396218896,0.836542368,0.48787275,107.5109253,0.526361227,213.3182983,floral,9
4826,1638,0.485338718,0.855246842,0.539952338,111.1415329,0.432516217,218.0879517,floral,9
4822,1644,0.375940949,0.796633124,0.52126807,99.27314758,0.528087735,203.141449,floral,9
4823,1654,0.442696601,0.879816651,0.632310152,93.97325134,0.496830821,224.353241,floral,9
4807,1651,0.402550936,0.840450943,0.538678348,101.3481522,0.52102983,214.3149872,floral,9
4830,1669,0.621100068,0.99999994,0.852251232,83.39647675,0.378899872,254.9999847,floral,9
4837,1665,0.626797974,0.89825666,0.779155254,86.32476044,0.302206159,229.0554504,floral,9
4847,1664,0.502177894,0.880362451,0.592965186,105.5963516,0.429578274,224.4924316,floral,9
4846,1673,0.576931655,0.99999994,0.614179373,114.7174911,0.423068315,254.9999847,floral,9
4838,1614,0.552435338,0.850316703,0.588819146,112.6714935,0.350318134,216.8307648,floral,9
4829,1610,0.576485395,0.921229661,0.616005003,113.1219254,0.374221861,234.913559,floral,9
4847,1652,0.414815426,0.836061358,0.571503162,97.68224335,0.503845751,213.1956482,floral,9
4854,1638,0.40245381,0.928761005,0.663378,90.25415802,0.566676676,236.8340607,floral,9
4854,1693,0.586785376,0.907262027,0.714979172,95.99941254,0.353234977,231.3518219,floral,9
2331,3033,0.462947845,0.784178495,0.627729416,89.22182465,0.409639716,199.9655151,floral,9
2336,3039,0.63319838,0.897738934,0.824000061,76.72460175,0.294674248,228.9234314,floral,9
2338,3046,0.526906908,0.817896366,0.86947602,50.96596527,0.393994868,221.7163849,floral,9
2345,3047,0.432565659,0.765386462,0.651117444,80.60010529,0.434840202,195.1735535,floral,9
2355,3044,0.397137851,0.807392895,0.614635944,88.19080353,0.508123219,205.8851929,floral,9
2363,3048,0.506832063,0.903849483,0.749516666,83.32382965,0.439251691,230.4816132,floral,9
2362,3047,0.50803864,0.88736701,0.777029991,77.45248413,0.427476346,226.278595,floral,9
2365,3040,0.441864073,0.726567805,0.664148629,73.1545639,0.391847461,185.2747955,floral,9
2360,3038,0.478563607,0.831109941,0.691826761,83.70466614,0.424187332,211.9330292,floral,9
2375,3034,0.588914871,0.943099022,0.938816011,60.72555542,0.375553489,240.4902496,floral,9
